# Border Force and drug trafficking system — example map
# Illustrative systems map for exploration, simulation, and Atlas pathway reading.
# It is not operational intelligence, a forecast, or an assessment of current policy effectiveness.
# 300 boxes, 850 links, 12 operational domains, 60 adjustable capability inputs.

# SECTION: streams
id,label,short,color
intelligence,Intelligence and targeting,INTEL,#2563eb
air_passenger,Air passenger border,AIR,#0891b2
maritime,Maritime and ports,SEA,#0f766e
postal_parcels,Postal and express parcels,POST,#7c3aed
freight,Freight and commercial traffic,FREIGHT,#b45309
inland_enforcement,Inland enforcement,INLAND,#dc2626
investigations,Criminal investigations,INVEST,#4f46e5
financial_disruption,Financial disruption,FINANCE,#9333ea
international_partnerships,International partnerships,INTL,#0284c7
workforce,Workforce and readiness,PEOPLE,#059669
safeguarding,Safeguarding and vulnerability,SAFE,#db2777
drug_market_outcomes,Drug market and public outcomes,OUTCOME,#be123c

# SECTION: stages
id,label
environment,Trafficking environment
inputs,Border Force inputs
activities,Operational activities
outputs,Immediate outputs
outcomes,Drug trafficking outcomes

# SECTION: categories
id,label,color,text_color,class
context,Trafficking environment,#dbeafe,#172554,primary
capability,Border Force capability,#bfdbfe,#172554,primary
activity,Operational activity,#a7f3d0,#022c22,primary
output,Immediate output,#fde68a,#422006,primary
outcome,System outcome,#c4b5fd,#2e1065,primary
risk,Trafficking or harm risk,#fca5a5,#450a0a,secondary

# SECTION: defaults
key,value
elasticity_enables,0.30
elasticity_increases,0.22
elasticity_decreases,-0.22

# SECTION: nodes
id,label,description,stream,stage,category,baseline,unit,controllable,direction,slider_max,combine,formula,min,max
intelligence_environment_01,Trafficking threat volume,Intelligence and targeting: Trafficking threat volume. Illustrative system variable in the trafficking environment layer; not operational intelligence or a policy assessment.,intelligence,environment,context,80,pressure index,,neutral,,,,,
intelligence_environment_02,Route volatility,Intelligence and targeting: Route volatility. Illustrative system variable in the trafficking environment layer; not operational intelligence or a policy assessment.,intelligence,environment,context,87,pressure index,,neutral,,,,,
intelligence_environment_03,Intelligence gap,Intelligence and targeting: Intelligence gap. Illustrative system variable in the trafficking environment layer; not operational intelligence or a policy assessment.,intelligence,environment,context,94,pressure index,,neutral,,,,,
intelligence_environment_04,Reporting volume,Intelligence and targeting: Reporting volume. Illustrative system variable in the trafficking environment layer; not operational intelligence or a policy assessment.,intelligence,environment,context,101,pressure index,,neutral,,,,,
intelligence_environment_05,Network concealment,Intelligence and targeting: Network concealment. Illustrative system variable in the trafficking environment layer; not operational intelligence or a policy assessment.,intelligence,environment,context,108,pressure index,,neutral,,,,,
intelligence_inputs_01,Analyst capacity,Intelligence and targeting: Analyst capacity. Illustrative system variable in the border force inputs layer; not operational intelligence or a policy assessment.,intelligence,inputs,capability,93,capacity index,true,higher_better,2.5,,,,
intelligence_inputs_02,Intelligence systems,Intelligence and targeting: Intelligence systems. Illustrative system variable in the border force inputs layer; not operational intelligence or a policy assessment.,intelligence,inputs,capability,100,capacity index,true,higher_better,2.5,,,,
intelligence_inputs_03,Data access agreements,Intelligence and targeting: Data access agreements. Illustrative system variable in the border force inputs layer; not operational intelligence or a policy assessment.,intelligence,inputs,capability,107,capacity index,true,higher_better,2.5,,,,
intelligence_inputs_04,Language coverage,Intelligence and targeting: Language coverage. Illustrative system variable in the border force inputs layer; not operational intelligence or a policy assessment.,intelligence,inputs,capability,114,capacity index,true,higher_better,2.5,,,,
intelligence_inputs_05,Targeting budget,Intelligence and targeting: Targeting budget. Illustrative system variable in the border force inputs layer; not operational intelligence or a policy assessment.,intelligence,inputs,capability,121,capacity index,true,higher_better,2.5,,,,
