# UK Border Systems Map - Editable Configuration
# Edit any section below. Save as .csv. Drag the file onto the app to load it.
#
# Sections start with a line like `# SECTION: <name>`.
# The first row of each section is the column header.
# Lines starting with # are comments and are ignored.
# Empty rows are ignored.
#
# Sections (in order): streams, stages, categories, defaults, nodes, edges.

# SECTION: streams
# id        - unique stream identifier (referenced from nodes)
# label     - display name
# short     - short label shown on the map row header (uppercase)
# color     - hex colour for the stream (e.g. #60a5fa)
id,label,short,color
cross,Cross-Cutting,CROSS,#94a3b8
air,Air Passenger,AIR,#60a5fa
roro,RoRo Goods,RORO,#f59e0b
lolo,LoLo Goods,LOLO,#a855f7
parcel,Fast Parcel,PARCEL,#22d3ee
post,Post & Mail,POST,#f472b6

# SECTION: stages
# id    - stage identifier (referenced from nodes). Stages render as columns left-to-right in CSV order.
# label - column header text on the map
id,label
input_resource,Resources & Infrastructure
input_policy,Systems & Policy
prearrival,Pre-Arrival
border,Border Processing
intermediate,Intermediate Outputs
outcome,Outcomes & Impacts

# SECTION: categories
# id          - category identifier (referenced from nodes)
# label       - display name
# color       - fill colour for nodes of this category (hex)
# text_color  - label text colour (hex). Pick a high-contrast value relative to the fill.
id,label,color,text_color
resource,Resource,#d4a373,#1c1917
policy,Policy,#a3a3a3,#1c1917
system,System,#a5b4fc,#1e1b4b
process,Process,#7dd3fc,#082f49
metric,Metric,#5eead4,#042f2e
economic,Economic Outcome,#86efac,#052e16
security,Security Outcome,#fda4af,#4c0519
health,Health Outcome,#67e8f9,#083344
reputation,Reputation,#f0abfc,#4a044e

# SECTION: defaults
# Default elasticities used when an edge's `elasticity` cell is empty.
# Elasticity = percent change in target value per percent change in source value.
# For `decreases` effects, the default is negative.
key,value
elasticity_enables,0.3
elasticity_increases,0.25
elasticity_decreases,-0.25

# SECTION: nodes
# id           - unique node identifier (referenced from edges)
# label        - display name on the node
# description  - tooltip text and detail panel description
# stream       - which stream this node belongs to (must match an id in `streams` section)
# stage        - which stage column this node sits in (must match an id in `stages` section)
# category     - node category (must match an id in `categories` section)
# baseline     - baseline numeric value (e.g. 9000 for FTE, 25 for wait time in minutes)
# unit         - unit string shown after the value (e.g. FTE, min avg, £bn/yr, %, index)
# controllable - 'true' to expose this node as a slider in Simulation mode; blank otherwise
# direction    - 'higher_better', 'lower_better', or 'neutral'. Only set for outcome metrics.
# slider_max   - maximum multiplier on the slider in Simulation mode (e.g. 2.0 = 200% of baseline). Defaults to 2.0 if blank.
id,label,description,stream,stage,category,baseline,unit,controllable,direction,slider_max
border_force_fte,Border Force FTE,Total operational Border Force officer headcount across all roles and locations.,cross,input_resource,resource,9000,FTE,true,,2
hmrc_customs_fte,HMRC Customs FTE,"HMRC staffing for declarations processing, post-clearance audit, and customs enforcement.",cross,input_resource,resource,3000,FTE,true,,2
apha_port_health_fte,APHA & Port Health FTE,Animal & Plant Health Agency and Port Health Authority staff conducting SPS checks.,cross,input_resource,resource,800,FTE,true,,3
intelligence_analyst_fte,Intelligence Analysts,Joint Border Intelligence Unit and NCA analysts producing targeting packages.,cross,input_resource,resource,1200,FTE,true,,2.5
detection_dog_teams,Detection Dog Teams,"Sniffer dogs and handlers for drugs, cash, tobacco, and firearms detection.",cross,input_resource,resource,250,teams,true,,3
inland_bcp_capacity,Inland BCP Capacity,"Capacity at Sevington, Ashford and other inland Border Control Posts for SPS examinations.",cross,input_resource,resource,30,BCPs,true,,3
egate_estate,eGate Estate,Number of operational eGates and biometric processing throughput at airports.,air,input_resource,resource,270,gates,true,,3
pcp_booth_capacity,PCP Booth Capacity,Primary Control Point booth count and operational hours at all air ports of entry.,air,input_resource,resource,800,booths,true,,2
secondary_room_capacity,Secondary Area Capacity,"Physical capacity for secondary examination, holding rooms, and detention space.",air,input_resource,resource,50,rooms,true,,3
anpr_coverage,ANPR Camera Coverage,Automated Number Plate Recognition deployed at RoRo ports for pre-arrival vehicle ID.,roro,input_resource,resource,95,%,true,,1.05
roro_xray_scanners,RoRo X-Ray Scanners,"Fixed and mobile cargo X-ray and gamma scanners at Dover, Holyhead, Eurotunnel etc.",roro,input_resource,resource,40,scanners,true,,3
lolo_xray_scanners,LoLo Container Scanners,"Fixed gantry and mobile container scanners at Felixstowe, Southampton, London Gateway, etc.",lolo,input_resource,resource,35,scanners,true,,3
lolo_exam_facilities,Container Exam Facilities,Sheds and equipment for physical container devanning and inspection.,lolo,input_resource,resource,12,sheds,true,,3
parcel_hub_scanners,Parcel Hub Scanners,"CT and X-ray scanners at fast parcel operator hubs (FedEx, DHL, UPS).",parcel,input_resource,resource,60,scanners,true,,3
mail_centre_scanners,Mail Centre Scanners,X-ray and CT scanners at Royal Mail international mail processing centres.,post,input_resource,resource,25,scanners,true,,3
semaphore_intel_systems,Semaphore & Intel Systems,"API/PNR analysis, watchlist matching, and intelligence data infrastructure.",cross,input_policy,system,100,% maturity,true,,1.5
ics2_data,ICS2 Pre-Arrival Data,Import Control System 2 — electronic advance cargo data for inbound consignments.,cross,input_policy,system,100,% coverage,true,,1.2
